X	Y
10	2.941E-03
56	2.698E-03
110	2.459E-03
180	2.206E-03
200	2.143E-03
270	1.948E-03
360	1.744E-03
430	1.613E-03
470	1.546E-03
560	1.415E-03
750	1.200E-03
1000	1.000E-03
1800	652.2E-06
2700	468.8E-06
3600	365.9E-06
5600	245.9E-06
27000	54.55E-06
110000	13.57E-06
220000	6.803E-06
750000	1.999E-06
1100000	1.363E-06
2400000	624.9E-09
4700000	319.1E-09
6200000	241.9E-09
8200000	182.9E-09
10000000	150.0E-09

