X	Y
10	492.6E-06
56	462.2E-06
110	432.4E-06
180	400.7E-06
200	392.9E-06
270	368.5E-06
360	343.0E-06
430	326.6E-06
470	318.3E-06
560	301.9E-06
750	275.0E-06
1000	250.0E-06
1800	206.5E-06
2700	183.6E-06
3600	170.7E-06
5600	155.7E-06
27000	131.8E-06
110000	126.7E-06
220000	125.9E-06
750000	125.2E-06
1100000	125.2E-06
2400000	125.1E-06
4700000	125.0E-06
6200000	125.0E-06
8200000	125.0E-06
10000000	125.0E-06
