X	Y
10	086.5E-06
56	407.6E-06
110	665.1E-06
180	875.9E-06
200	918.4E-06
270	1.025E-03
360	1.095E-03
430	1.119E-03
470	1.124E-03
560	1.121E-03
750	1.080E-03
1000	1.000E-03
1800	765.6E-06
2700	593.3E-06
3600	481.9E-06
5600	338.6E-06
27000	80.33E-06
110000	20.27E-06
220000	10.18E-06
750000	2.996E-06
1100000	2.044E-06
2400000	937.1E-09
4700000	478.6E-09
6200000	362.8E-09
8200000	274.4E-09
10000000	225.0E-09

